transliteration,translation
šetâtu I,f. (a garment) Ug.;
kunangu I,(a metal drinking vessel) OB [wr. KU.NA.(AN.)GI4]
bissatu I,"mng. unkn. jB legap> ., desig. of door strap (ya'u)"
dekû I,"""raised"" NB of hands; I"
Simut I,"""(net) Mars"" jB;"
mundu I,"(a type of flour) OAkk, Bab. [NÍG.ÀR.RA]"
minītu I,"""measure, dimension"" Bab., NA [ŠID] 1. sg. jB ""reckoning""; NB astr. ""measurable part""2. ""(normal) dimensions""; eli m. ""beyond measure""; ana m. ""in relation to, according to""; NB ṭupšar minâti ""architect""; ""(period of) time, moment""3. ""limbs, physique"" [UB.NIGIN.NA]"
dikšu I,"""bulge, swelling"" O on body, on liver; legap> . ""diaphragm"" of stomach ; OB math. (part of geometrical figure);"
tangagtu I,(a knife) jB legap> .;
nâqu II,"""to run, go"" O G of men; of light ""go forth"" D MA(roy. inscr.) ""set in motion"" reversal of fortune"
ra''ābu I,"""very trembly"" OB as gap>;"
ennakku I,mng. unkn. jB legap> .;
šēdu II,(a nt) jB legap> .
mārû I,"""animal fattener"" O, Nuzi [(LÚ.)NIGA(=ŠE)]; bīt mārî ""fattening shed"";"
šahurru I,mng. unkn. jB legap> .
ṣahātu I,"""to press, squeeze"" Bab., NA [ŠUR] G (a) ""press out"" oil, wine, juice etc. D ~ G also transf. ""put pressure on, oppress, blackmail, pressgang"" s.o. N pass. of G also Ug. of person ""be hard pressed"""
bādu I,"""evening"" NA in ki/ina b. ""at evening"";"
ṣallu I,"""sleeping"" Bab. ""sleeping person""; of animal;"
nazāqiš I,"""to s.o.'s sorrow"";"
ussudu I,mng. unkn. Dt jB
ullimettam I,"""in his time"" Mari;"
pirāku I,(a structure) OA
kalbatu I,"""le dog, bitch"" O [NIG] also transf. (a strap on a ugh);"
zuqqutu I,"""pointed, coming to a point"";"
tayāru III,"""measure"" Nuzi, for fields;"
rīšiš I,"""joyfully"" O;"
alātu I,"(var. of la'ātu) ""to swallow (up)"" Bab. G (u) egap> t., transf. of parts of the body or foetus ""absorb"" D ~ G, jB also transf. ""suppress"" revolt ma'lātu Icf. h"
sagbû I,"""first, foremost"" jB legap> .;"
muballiṭānu I,"""that keeps alive; maintainer"" MA;"
a-na ṣé-er a-šùr-UTU i-na ba-áb ha-ra-ni-šu né-ru-ub-ma um-ma en-na-sú-in a-na a-šùr-UTU-ma a-pu-na lá-ma kà-sà-am ni-iš-tí-ú a-wa-tí-im lá-ta-wu-kum li-ba-tim lá ta-ma-lá i-nu-mì i-na wa-áš-ha-ni-a ú-kà-i-lu-ni-ni 2-ma-na KÙ.BABBAR a-ha-ti tù-šé-bi-lá-kà um-ma a-šùr-UTU ke-na tù-šé-bi-lá-ni-ma ú-lá a-dí-na-kum um-ma en-na-sú-in-ma u4-ma-am a-ha-tí ta-tù-ra-am um-ma ší-it-ma ta-al-tám-nam KÙ.BABBAR ù ṣí-ba-tí ša iš-tù 8 ša-na-tim šé-ṣí-ma dí-nam um-ma a-šùr-UTU-ma e-ni-ma-ma a-na šé-ep a-šur-i-mì-tí am-qú-ut a-hu-ú-a a-tù-nu a-ma KÙ.GI 15 GÍN ù 1 ma-na sà-am-tum ma-lá ta-le-a-ni É.GAL-lam ṭá-i-ba um-ma a-šùr-UTU-ma a-na en-na-sú-in-ma šu-ma KÙ.BABBAR a-na ma-dí-im i-tù-ar al-kam-ma ší-bé-kà la-aṣ-ba-at-ma ma-lá e-pá-ší-im ep-ša-ni um-ma en-na-sú-in-ma a-na a-šùr-UTU-ma É.GAL-lúm KÙ.BABBAR ma-dam i-ṣé-ri-a i-šu,"We entered with Aššur-šamšī when he was about to go on a journey and Ennam-Suen said to Aššur-šamšī: Please, before we drink from the cup I want to declare something to you, do not get angry! When they detained me in Wašhaniya did my sister send you to me with 2 minas of silver"" Aššur-šamšī answered: ""Sure, she sent me, but I did not give it to you."" Ennam-Suen then said: ""Today my sister has come back here and she said: 'You have done me wrong! Produce the silver and its interest due since eight years and give it to me!'"" Aššur-šamšī answered: "" trew myself down at the feet of Aššur-imittī, saying: 'Please, my brothers, here are gold, 15 shekels, and 1 mina of carnelian, appease the palace as well as you can'"". Aššur-šamšī also said to Ennam-Suen: ""If the silver (due) has increased much then come here, let me seize your witnesses and do with me what you think best!"" Ennam-Suen answered Aššur-šamšī as follows: ""The palace has a substantial silver claim on me gap> """""
rē'û I,"""shepherd, herdsman"" [(LÚ.)SIPA] of sheep, cattle, donkeys, horses, pigs, NA camels, M birds etc.; rab(i) r. ""chief shepherd""; transf. god, king as ""shepherd"" of humanity, the land; Mari, Bogh. egap> t. (a part of the liver); also legap> . (a bird) [SIPA.MUŠEN], mār(at) r. (a grasshopper);"
ūmu I,"m. & f. ""day"" [UD; astr. cf. 1] 1. ""daytime"" as opp. to night [astr. ME]; is bright, cloudy etc.; ū. kurû ""short day"" of winter; times of day cf. e.g. mašlu, mišlu, qablu I 3, šērtu II, šēru II; kal(a) ūmi ""all day""2. ""(whole) day"" (= 24 hours); as date [UD.X.KAM = ""Xth day"", but also ""X days""]; favourable, unfavourable; MA UD-um ""per day""; MA, jB u ūmāte ""a whole month""; OA adi ū. annîm ""till today"", jB ištu ūmimma ""from today""; NA, NB ūmu (gap> ) ūmu ""day by day; one day gap> the other""; st. abs. O ūm mašil, mašil ūm ""half a day""3. special days: for rituals, festivals cf. e.g. akītu, isinnu, tēliltu; ūm(u) ili ""(personal) god's day""; of death, fate etc. cf. bibbulu 2, mūtu, šīmtu, ištēn ū. etc. ""in one day"", i.e. quickly4. ""days"" as period of time, of past, future; of s.o.'s lifetime; of allotted period in law, commerce, umū + malû ""time is up""; of season, weather, harvest, OB ūmāt šamaššammī ""sesame time""; ina lā ūmišu ""at the wrong time""5. in temporal egap> pressions: (ina) ū. ""at the time of""; adi ū. ""until""; in(a) ūmišu(ma) ""at his time, then"", + pres. ""at the stipulated time"" ūm Iūma I1 ūmiš Iūmišam Iūmussu Iūmšu Iūmītu Iūmtu Iūmakkal Iūmakkalû Ianūmīšu Iinūmē Iinūmīšu Išalšūmi Icf. I"
sankuddû I,(a kind of fish) jB legap> .;
urullu II,(a kind of reed) O; = u. I
šur'u II,"""reins"" jB; also desig. of stars in Taurus"
abarikku I,O legap> .; jB(lit.) also as divine title;
šiniānu I,f. šiniāntum (desig. of sheep) OB ;
hašmānu I,"(a colour) O, MA 1. (a coloured stone)2. (coloured wool)"
namtallû I,"""(solar, lunar) eclipse"" OB;"
bâru I,"""to catch, trap (with a net etc.)"" Bab. G (ā) fish, birds etc.; wicked peo, enemies Gtn jB iter. of G [DAB.DAB] D ""hunt, go hunting"""
-kin I,"""your"" (2 f. gen. suff.) (cf. GAG §42g-k)"
ŠU.NÍGIN 2 ma-na 15.6666 GÍN KÙ.BABBAR ṣa-ru-pá-am i-nu-mì a-na ha-hi-im a-li-ku i-na ni-kà-sí a-šur-GAL iš-ku-nam-ma um-ma a-na-ku-ma mì-ma KÙ.BABBAR a-ni-im ni-kà-sú-ni IGI en-na-sú-in DUMU nu-ur-DINGIR-šu ù šál-ma-a-šùr DUMU ba-za-za ni-sí-ma i-na li-bi4 3 GÚ URUDU SIG5 ù 12 ku-ta-ni ša a-na šál-ma-a-šur ù ku-wa-tí e-zi-bu tù-ṣa-hi-ra-am a-lá-an 10 GÍN KÙ.BABBAR ša a-na lá-ma-sí-tim 7.5 GÌN ša ha-bu-a-lá ù 2 GÍN ša da-dí-a ú ku-wa-tí mì-ma ša-ni-a-am i-na ba-áb ha-ra-nim a šu-mì-a lá ta-áš-qúl um-ma šu-ut-ma <gap> ša URUDU SIG5 <gap> lá ša-bu 20 <gap> ma-na KÙ.BABBAR ša <gap> AN tal-qé-ú ù i-na ša ik-ri-bi4-kà a šu-mì-kà ú-ša-qí-il5 um-ma a-na-ku-ma šál-ma-a-šur ša i-na re-ší-ni i-za-zu lu-ha-sí-is-ni-a-tí-ma šu-ma lá ta-ah-ta-sà-as GÍR ša {d}a-šùr ta-am-am-ma KÙ.BABBAR ša ik-ri-bi4-a li-hi-li-iq IGI šu-IŠTAR DUMU šu-a-a IGI ú-ṣú-ra-nim ma-mì-tám a-dí-šum,"<gap> In all: 2 minas 15.6666 shekels of refined silver Aššur-rabi put down at the accounting when I went to hahhum, and I said:"
a-na <gap> -ar <gap> i zu <gap> ra <gap> ṭup-pí-a a-na hu-bu-ul i-dí-a-bi-im a-na qá-ta-tí-šu ṭup-pí-a ú-lá-pí-tù ù a-ha-ma 1 ma-na KÙ.BABBAR a-na wa- <gap> -ni DUMU a-hu- <gap> i-na ma-áš-kà-tí-a iš-qú-ul a-hu-ú-a be-lu-ú-a a-tù-nu a-na ma-lá ṭup-pí-a ma-lá a-wa-at ma-hi-ri-ku-nu i-ší-ik-na-ni ri-da-ma ba-áb DINGIR ṭup-pá-am <gap> ki-ma i-a-tí <gap> a-na <gap> -hi-ni-šu dí-na IGI a-bi-a DUMU nu-ur-ZU zu-ú-a NU.BÀNDA ù a-šur-na-da ku-ub-tù-um tap-pá-šu-nu,<gap> To gap> They wrote my tablets for Iddin-abum's debt for his guarantor.
a-na ma-nu-ki-a-šur ù a-na-na qí-bi-ma um-ma en-um-a-šur-ma 1 ṭup-pá-am ša ba-áb DINGIR ša 9.5 ma-na 3 GÍN KÙ.BABBAR ša ší-bu-tí a-lu-lá-a ù lá-qé-ep ù 1 ṭup-pu-um ša 5 GÚ URUDU ša hu-bu-ul ku-ra ku-nu-ki-a a-kà-li ÌR ša a-šur-ma-lik na-áš-a-ku-nu-tí a-ma-kam iš-tí a-na-na li-ib-ší-ú a-ma-kam im-ra-mu-ša a-na ba-áb-tim ša tù-um-li-a-i-im li-hi-id,"To Mannum-kī-Aššur and Anna-anna from Ennam-Aššur: Akali, Aššur-malik's slave is bringing you under my seal 1 tablet from the Gate of the God concerning 9.5 minas 3 shekels of silver, with the testimony of Alulaya and Lā-qēp, s 1 tablet concerning 5 talents of copper from Kura's debt. Let them remain there with Anna-anna. There Ewarimuša should take care of the outstanding claims of the man from Tumliya."
qūlu I,"f. ""silence"" O [NÍG.ME.GAR] of disaster, despair; q. libbi ""peace of mind"";"
elēlu II,"""to be(come) pure, free"" G (i) [KÙ] of ominous sign ""be clear""; ""be pure"" cultically, of person, incantation; OA, OB of person, person's forehead (pūtum) ""be free"" from claims D ""purify"" [KÙ] weapons in sea; body, mouth, hands; of deity ""purify"" humans, heaven; by magic; ""carry out purely"" ritual, offering; ""dedicate by purification""; OB ""manumit"" slave(-woman) Dt ""purify o.s.""; ""be purified"""
aigalluhu I,"(a horned animal) Am., Nuzi"
mārûtu I,"""fattening (technique)"" OB;"
a-na i-dí-ku-bi-im a-na-ah-ì-lí ú PUZUR4-a-šùr a-na a-na-ah-ì-lí qí-bi-ma um-ma ku-li-a-ma 1.3333 ma-na ú ṣí-ba-tí-šu KÙ.BABBAR a-na a-bu-ša-lim DUMU en-na-sú-in ha-bu-lá-tí-ma na-áš-pé-er-tum ša a-šùr-DU10 i-li-kam-ma a-na 1 ma-na KÙ.BABBAR a-wa-at-kà i-gi5-mì-ir KÙ.BABBAR šu-a-tí-i a-na-ku a-pu-ul a-ha-ma ⅓ ma-na KÙ.BABBAR ba-áb DINGIR a-na a-bi4-ni ta-dí-i iš-té-ni-iš ša 1.3333 ma-na KÙ.BABBAR ṭup-pá-kà al-pu-ut na-áš-pé-er-tám ša ku-nu-ki-a ša 1 ma-na KÙ.BABBAR tù-kà-a-al ú ša-ni-tám ša ⅓ ma-na KÙ.BABBAR tù-kà-a-al táq-bi4-a-am um-ma a-ta-ma a-li-ik-ma ṭup-pá-am ša ku-nu-uk a-šùr-DU10 li-qí-a-am ṭup-pá-am ša ku-nu-uk a-šùr-DU10 al-qé-a-ku ša a-bu-šu ú šu-ut a-na ku-a-tí ú me-er-i-e-kà lá i-tù-ru-ni a-hi a-ta 1.3333 ma-na KÙ.BABBAR ku-nu-uk-ma a-na PUZUR4-a-šùr pí-qí-id-ma lu-ub-lam ṭup-pá-am ša ku-nu-uk a-šùr-DU10 ú ṭup-pá-am,"To Iddin-Kūbum, Anah-ilī, and Puzur-Aššur, especially to Anah-ilī, thus says Kuliya: 'You owe to Abu-šalim, son of Ennam-Suen, 1.3333 mina of silver s its accumulated interest. A letter of Aššur-ṭāb arrived here and for an amount of 1 mina of silver your affair has been settled. I myself have guaranteed that amount of silver. Moreover, you have ⅓ mina of silver to our father in the Gate of the god. I drew up your tablet for a total of 1.3333 mina of silver; you have in your possession a letter with my seal (good) for 1 mina of silver and a second (good) for ⅓ mina of silver. You told me as follows: Go and obtain for me a tablet sealed by Aššur-ṭāb, and I obtained for you a tablet sealed by Aššur-ṭāb stating that neither his father nor he himself will come back on you and your sons. Please, my brother, put 1.3333 mina of silver under seal and entrust it to Puzur-Aššur to bring it here. Send me a message then I will give both the tablet sealed by Aššur-ṭāb and the one of 1.3333 mina of silver with your own seal to your representatives. And then they should release to me the two letters of mine with my seal, which you have in possession, to cancel them. My dear brother, it is now two years that you keep this silver at your disposal. Though I sent my servants to you, you did not send me the silver and they caused me egap> penses of sigap> shekels of silver. ase, my brother, send the silver and give the 6 shekels of silver, the egap> penses he incurred, to Puzur-Aššur. Realize what my favors to you mean!"
sullû I,"D ""to appeal"" to s.o., ""pray to"" s.o. 1. OA, OB ""appeal"" to (= ana) s.o. for (= acc.) s.th.2. OAkk, Bab. ""supcate, pray to"" deityDtn iter. of G 2"
patinnu I,"~ ""sash, band"" Bab., for headdress; as part of blanket"
zâbu I,"""to dissolve, flow (away)"" OA, O G intrans., of clay, wagap> , blood, transf. of peo D trans. legap> ."
naharbušu I,"""to freeze"" intrans. jB Ntn iter."
sa'ūdu I,(a tree) Mari
ša I,"""who(m), which; (s)he who, that which; of"" etc. (det. pron.) 1. (cf. GAG §§137-8) before gen. ""of"" (after subst.; after pron. suff.; also before subst.), jB legap> . ""with reference to, (with the meaning) of; (when said) of""; (before infin.) ""fit to (be), due to (be)""; (before lā + infin.) ""not to be, which cannot not be""; (in gap>) ""(the deeds) of"" DN; (in prof. desig.) ""he of"", i.e. the man in charge of; ša X-šu = ""the X-man""; (before prep.) e.g. ša libbi, ša muhhi; ša lā ""without; in the absence of""2. (cf. GAG §§164-8) rel. pron. before subjunct. or nominal clause ""who, whom, which"" (also with no antecedent); OAkk as acc. only; followed by subst. + pron. suff. ""whose""; by vb. + dat. pron. suff. ""to whom""; in comb. with other conj.s esp. j, NA, e.g. adi ša, akī ša, kīma ša, ištu ša etc.; ""that, according to which""; ""with respect to the fact that gap> "", ""because"""
uṣṣuru I,"""drawn, decorated"" j of pattern on lizard etc.;"
a-na a-dí-da ú a-lá-hi-im qí-bi-ma um-ma SIG5-pì-a-šur-ma 6 na-ru-qá-tim TÚG.HI.A ku-nu-ki-a i-na hu-ur-ší-im e-zi-ib ŠÀ.BA 12 TÚG.HI.A SIG5 8 TÚG.HI.A tár-dí-ú-tim 4 TÚG.HI.A ša uš-ma-a ṣú-ba-tí-a a-šar ša-ṣú-ru šu-uk-na ⅓ ma-na 1 GÍN KÙ.BABBAR ší-im ṣú-ba-tim 21 ma-na 10 GÍN KÙ.BABBAR e-zi-ba-ku-nu-tí URUDU-ri-i a-na KÙ.BABBAR dí-na-ma ú KÙ.BABBAR ší-im ṣú-ba-tí-a ku-un-kà-ma li-ib-ší KÙ.BABBAR a-na hu-ša-hi-ku-nu lá tù-ma-na li-ib-ší a-hu-a a-tù-nu KÙ.BABBAR ṣú-ba-tí-a a-na i-ṭá-at-lim i-ta-dí-na ba-áb-tám lá a-ra-ší 14 GÍN KÙ.BABBAR ša-lim-be-lí DUMU ba-šu ha-bu-lu-ni-im i-na ba-ni- <gap> -im,"<gap> To Adida and Ali-ahum from Damiq-pī-Aššur: I left 6 sacks with tegap> tiles under my seal in the store-room. Among those (were) 12 tegap> tiles of good quality, 8 second quality tegap> tiles, 4 tegap> tiles belonging to Ušmaya. Place my tegap> tiles where they will be under guard. I left the price of a tegap> tile, ⅓ mina 1 shekel of silver (and) 21 minas 10 shekels of with you. Sell my copper for silver, then seal the proceeds in silver from my tegap> tiles and let it remain. Do not consider the silver for your own needs, let it remain (intact). My dear brothers, as to the silver for my tegap> tiles, they should be sold for cash on delivery. I shall not have any outstanding claims. Šalim-bēlī son of Bašu owes me 14 shekels of silver. in gap>"
kūru II,"f. ""kiln, furnace"" Ass., OB for metal, glass; uqnê k. ""kiln-made lapis lazuli"" i.e. (blue) glass"
hubuttūtu I,"""interest-free loan"" Bab. silver, grain;"
šutātû I,"""positioned opposite one another"" O of archit. features; tines of fork;"
nuppuṣu I,"""crushed"" jB legap> .; of beer-wort;"
a-na a-la-hi-im lu-lu ù en-um-a-šùr a-na en-um-a-šùr qí-bi-ma um-ma PUZUR4-a-šùr-ma 13 ma-na AN.NA ku-nu-ki-a i-na za-al-pá a-dí-na-ku-um um-ma a-na-ku-ma a-na kà-né-eš šé-ri-ba-šu IGI a-šùr-ba-ni DUMU ku-ta-a IGI en-nam-sú-in DUMU AH.ME-ša-sú-in a-hi a-ta AN.NA ku-nu-ki-a a ša ki-ma i-a-tí pí-qí-id a-na ša ki-ma i-a-tí qí-bi-ma a-hu-ú-a a-tù-nu AN.NA ša-dí-na-ma a-na KÙ.BABBAR ta-e-ra-šu KÙ.BABBAR ku-un-kà-ma li-ib-ší gi-im-lá-ni ù a-na-ku a-we-el gi-mì-lim,"To Ali-ahum, Lulu and Ennam-Aššur; specifically to Ennam-Aššur from Puzu-Aššur: I gave you 13 minas of tin under my seal in Zalpa, and I said: Lead it into Kanesh."" Witnesses were Aššur-bāni son of Kutaya, Ennam-Suen son of the Suen-priest. My dear brother, entrust the tin under my seal to my representatives. To my representatives: My dear brothers, have the tin sold and converted to silver, seal the silver and let it be. Do me a favour. I too am a man able to do favours."""
gannu II,"gannātu ""garden"" NB;"
annanna I,"f. annannītu ""NN, so-and-so, such-and-such"" O [NENNI; f. (MUNUS.)NENNI(-tum) etc.]; Nuzi (a class of women);"
⅚ ma-na 6.5 GÍN KÙ.BABBAR ša sú-hu-ur-pì-a-lá a-na sú-e-ta-ta ha-bu-lu KÙ.BABBAR a-al-DU10 iš-qú-ul a-al-DU10 i-lá-ak-ma né-mu-lu-um i-ta-áb-ší i-né-mì-li-im i-lá-qé šu-ma né-mu-lu-um lá-šu KÙ.BABBAR ù ṣí-ba-sú a-li-a ù ha-ar-ša a-na a-al-DU10 i-ša-qú-lu IGI ší-il5-ma-šu IGI šu-pu-nu-ma-an,"56.5 shekels of silver, which Suhurpiyala owes to Suettata, that silver Āl-ṭāb has paid. Suhurpiyala (!) will make a business trip and if there is profit, he will take it (the silver) from the profit. If there is no profit Aliya and harša will pay the silver and the interest on it to Āl-ṭāb. In the presence of Šilmašu, of Šuppunuman."
šakillu I,"(a wooden structure) NB; also f. as PlN, canal name"
šabsūtu I,"""midwife"" Ass., O [MUNUS.ŠÀ.ZU];"
eššēšu I,"NB eššanna, šeššanna, e (a feast day) Bab. [(UD.)ÈŠ.ÈŠ] OB eššēšam (acc.) etc. ""on the holiday""; jB of Nabû (and Tašmētu); occasion of offerings, ritual;"
aslu II,"f. (a special cubit measure) jB, NA; ubān a. ""finger (i.e. subdivision) of a. cubit"""
KIŠIB a-de8-lá-at KIŠIB ir-am-{d}a-šùr DUMU i-dí-ba-ni KIŠIB pí-lá-ah-IŠTAR DUMU i-bi4-sú-a ša 12 GÍN KÙ.BABBAR a-al-DU10 a-na kur-ub-sú-in ha-bu-lu-ma en-na-sú-in qá-ta-tù-ni 12 GÍN KÙ.BABBAR ki-ma <gap>,"<gap> Seal of Adad-ellat, seal of Ir'am-Aššur, son of Idi-bāni, seal of Pilah-Ištar, son of Ibisua, to the effect that Āl-ṭāb owes 12 shekels of silver to Kurub-Suen and Ennam-Suen is guarantorThe 12 shekels of silver instead of gap>"
rišummāni I,"~ ""naked"" jB legap> .;"
šullahu I,šullahena (a vessel) MB(Alal.)
tumbû I,mng. unkn. NB
šukuddāku I,"""(tem) fisherman"" j;"
kunāšunu I,"""to you"" (2 m. dat. pron.) M"
marīnu I,(a leather article) O;
hazannu I,"(an alliaceous vegetable) OB, jB legap> ."
harriru I,"~ ""vole"" O, NA [PÈŠ.A.ŠÀ.GA] as food; lišān h. ""tongue of vole"" as drug; also as gap>; dH. (a star);"
qallalu I,"NA f. phps. qal(las)su ""very small"" NA, NB; of child, object; silver ""of low value""; NB qallalūtu ""slave boys"";"
hauštaru I,(a pastry) Mari
sabā'iu I,"""seventh"" MA [7-ú];"
abiyāru I,(a nt) jB legap> .
napuštu I,"NA na ""life; throat"" M, M [ZI] often , MB in gap> Ut-napušti, also ""(threat to) life""; Nuzi, jB legap> . ""(it is) vital, urgent""; MA n. lapātu ""to grasp (s.o.'s) throat"";"
12 GÍN KÙ.BABBAR ší-im TÚG ša en-na-nim DUMU a-zu-a ša É-lá-ma il5-qé-ú um-ma e-lá-ma-ma a-na en-na-nim DUMU a-ku-kà um-me-a-ni-kà KÙ.BABBAR áš-qúl um-ma na-na-a-ma en-na-núm iš-pu-ri-ma GÉME ša e-lá-ma ak-ta um-ma en-na-num-ma a-lik a-ma-sú ki-ta mì-ma <gap> HA DÍ <gap> -Á <gap> i pì en-na-nim DUMU a-ku-ka na-na-a GÉME ša e-lá-ma ik-ta šu-ma e-lá-ma KÙ.BABBAR en-na-nim ú-ša-bi4 ½ ma-na KÙ.BABBAR <gap> na-na-a a-na e-lá-ma i-ša-qal IGI <gap> dí-a IGI <gap> DUMU šu-IŠTAR IGI šu-IŠTAR DUMU da-da-nim,"<gap> As for the 12 shekels of silver, the price of a tegap> tile belonging to Ennānum, son of Azua, which Elamma took, Elamma declared: I paid the silver to Ennānum, the son of Akuka, your investor."" Nanaya said: ""At Ennānum's behest I took Elamma's slave-girl as security, for Ennānum told (me): 'Go and take his slave-girl as securtiy!"" Any gap> declared: ""It was at the instruction of Ennānum, son of Akuka, that Nanaya took Elamma's slave-girl as security"". If Elamma has paid the silver to Ennānum Nanaya will pay ½ mina of silver to Elamma. In the presence of gap> diya, of gap> , son of Šu-Ištar, of Šu-Ištar, son of Dadānum."""
šiggû I,mng. unkn. jB
šalamtiš I,"""like a corpse"" j"
sâdu I,"""to smite"" O(poet.) G (a) enemy"
hatru I,(or haṭrum) (an oil container) Mari
habbartu I,"(a kind of garment) jB legap> .; liter. ""thick (garment)"";"
aššišu I,"in lā a. ~ ""unruly, disordered"" jB legap> .;"
rimmatu I,"~ ""maggot"" OB cf. e"
šuruppû I,"""frost; cold fit"" O [A.ZA.AD; AŠ.RU] of cold weather; med., mag. of illness"
huluhhu I,"(light(-coloured) slag) O, NA med.; NA from ušmetu stone;"
mūrtu I,"""young le animal"" MA, MB;"
šīlu III,(a water craft) jB
ṭārittu I,'driver away' jB desig. of an evil (gue );
